面积_平米,房间数,楼层,房龄_年,距市中心_km,是否近地铁,是否学区房,城市,房价_万元
53,2,25,28,0.8,1,1,广州,131.8
95,1,4,38,19.5,1,0,杭州,106.1
120,3,19,26,20.6,1,0,广州,158.6
188,4,26,35,2.0,1,0,北京,262.4
85,3,17,16,15.5,0,0,上海,123.4
183,5,13,33,9.8,1,0,成都,264.2
55,4,26,2,20.0,1,1,广州,138.8
159,4,22,4,21.9,1,0,广州,258.6
123,3,23,13,21.3,0,1,深圳,165.6
196,5,26,2,19.5,0,0,北京,260.6
47,1,24,22,7.1,0,1,深圳,70.5
127,3,28,38,20.4,1,1,杭州,190.6
170,1,1,29,13.6,1,1,广州,229.2
58,3,12,22,1.8,1,1,广州,120.3
136,1,4,26,11.7,1,0,深圳,162.0
105,3,11,9,23.6,0,1,广州,120.8
118,4,5,24,22.3,1,1,杭州,171.2
125,2,2,12,3.0,1,1,上海,223.0
163,4,17,15,18.7,1,1,成都,254.9
189,1,8,33,20.2,1,1,成都,242.2
85,5,6,36,7.1,1,1,成都,174.8
152,4,21,21,12.1,1,1,上海,219.5
130,2,29,16,17.9,0,1,广州,179.0
180,1,9,22,11.3,1,1,深圳,221.9
72,4,13,35,3.3,1,0,北京,137.8
172,3,11,8,17.8,1,0,广州,247.5
116,5,29,1,22.8,0,1,上海,192.1
194,1,16,31,16.5,0,1,杭州,258.3
160,4,16,21,19.5,1,0,上海,240.6
167,1,27,12,9.3,1,0,成都,210.0
117,3,2,7,5.0,1,1,广州,220.6
191,2,10,0,16.2,0,1,成都,257.9
106,4,12,16,8.5,0,0,北京,133.1
154,1,8,11,21.6,1,1,杭州,211.1
102,1,11,3,3.5,1,1,成都,182.1
152,1,10,12,11.1,1,1,北京,205.1
133,2,13,30,10.2,1,1,上海,217.4
87,1,25,6,23.5,1,1,成都,119.1
51,5,17,22,4.3,0,0,成都,98.7
195,5,7,23,0.7,0,1,深圳,283.8
184,1,24,4,6.3,1,0,杭州,229.9
79,5,3,4,20.6,1,1,杭州,144.3
124,4,20,16,5.6,0,0,上海,176.5
96,5,13,29,6.4,1,1,深圳,179.3
126,1,19,8,3.7,1,0,北京,141.5
123,3,7,5,18.0,0,1,北京,193.8
160,4,9,24,2.2,0,0,上海,240.4
