进展编号,课题编号,报告季度,进展阶段,进度百分比,关键成果,存在问题,下一步计划,报告日期
JZ001,KT2023001,2023Q1,立项启动,10,完成文献调研和方案设计,部分算法数据集获取困难,与医院合作方沟通数据授权,2023-03-31
JZ002,KT2023001,2023Q2,技术攻关,25,完成基础分割模型开发,模型在小样本场景表现不佳,引入迁移学习方法改进,2023-06-30
JZ003,KT2023001,2023Q3,技术攻关,40,模型在公开数据集上达到 Dice 0.85,跨中心泛化能力待验证,开展多中心联合验证实验,2023-09-30
JZ004,KT2023001,2023Q4,中期检查,55,完成中期报告，发表SCI论文2篇,临床部署流程不熟悉,与信息科合作开发部署方案,2023-12-31
JZ005,KT2023001,2024Q1,临床验证,70,完成3家医院的前瞻性验证,部分病例标注标准不统一,制定统一标注规范,2024-03-31
JZ006,KT2023001,2024Q2,临床验证,82,模型部署完成，敏感性92%,特异性仍有提升空间,继续优化假阳性过滤模块,2024-06-30
JZ007,KT2023002,2023Q1,立项启动,15,完成材料体系筛选和初步配方设计,样品一致性较差,优化制备工艺参数,2023-03-31
JZ008,KT2023002,2023Q2,技术攻关,35,合成出高纯度前驱体材料,电化学性能不稳定,探索掺杂改性方案,2023-06-30
JZ009,KT2023002,2023Q3,技术攻关,55,循环寿命达到1000次以上,高倍率性能待提升,优化颗粒形貌和表面包覆,2023-09-30
JZ010,KT2023002,2023Q4,中期检查,70,发表Adv Mater论文1篇,材料成本偏高,探索低成本合成路线,2023-12-31
JZ011,KT2023002,2024Q1,放大制备,85,完成中试线搭建,中试产品性能波动,细化工艺控制参数,2024-03-31
JZ012,KT2023003,2023Q1,立项启动,20,完成威胁模型和需求分析,标准接口不统一,推动行业标准制定,2023-03-31
JZ013,KT2023003,2023Q2,技术攻关,45,提出轻量级加密认证协议,协议性能开销偏大,优化加密算法选型,2023-06-30
JZ014,KT2023003,2023Q3,系统集成,70,完成原型系统开发和仿真测试,真实场景验证不足,在智慧城市试点部署测试,2023-09-30
JZ015,KT2023003,2023Q4,验收结题,95,通过项目验收，发表论文3篇,部分安全功能未完全实现,后续完善开源社区版本,2023-12-31
JZ016,KT2023003,2024Q2,结题后续,100,完成软件著作权登记,无,推广至更多试点城市,2024-06-30
JZ017,KT2023004,2023Q1,立项启动,12,完成样本库建设和预实验,样本量偏小,扩大样本收集范围,2023-03-31
JZ018,KT2023004,2023Q2,标志物筛选,30,筛选出5个候选标志物,特异性有待提高,整合多组学数据验证,2023-06-30
JZ019,KT2023004,2023Q3,标志物验证,50,完成初步临床验证,健康对照匹配不足,完善对照队列,2023-09-30
JZ020,KT2023004,2023Q4,中期检查,65,发表Cell子刊论文1篇,检测方法灵敏度偏低,优化检测平台,2023-12-31
JZ021,KT2023004,2024Q1,技术转化,78,完成试剂盒原型开发,量产工艺待验证,与企业合作开展中试,2024-03-31
JZ022,KT2024001,2024Q1,立项启动,15,完成文献综述和技术路线设计,大模型算力资源紧张,申请超算中心资源,2024-03-31
JZ023,KT2024001,2024Q2,模型训练,35,完成生物医学领域大模型预训练,领域知识注入不够,设计持续预训练方案,2024-06-30
JZ024,KT2024001,2024Q3,应用验证,55,在靶点预测任务上达到SOTA,可解释性不足,开发注意力可视化工具,2024-09-30
JZ025,KT2024002,2024Q1,立项启动,10,完成海洋环境调研和需求分析,深海实验条件受限,申请深海科考船航次,2024-03-31
JZ026,KT2024002,2024Q2,技术攻关,28,完成探测传感器原型设计,传感器耐压性能待提升,开展压力舱测试验证,2024-06-30
JZ027,KT2024002,2024Q3,海试验证,45,完成浅海试验，获取有效数据,深海数据传输不稳定,优化水下通信方案,2024-09-30
JZ028,KT2022015,2023Q4,验收结题,98,通过项目验收，申请发明专利3项,部分性能指标接近但未达标,后续工艺改进继续研究,2023-12-31
JZ029,KT2022015,2024Q1,结题后续,100,完成工艺包转让,无,与企业合作推进产业化,2024-03-31
JZ030,KT2023005,2024Q1,性能优化,82,电池效率达到26.5%,长期稳定性待验证,开展1000小时稳定性测试,2024-03-31
JZ031,KT2023005,2024Q2,性能优化,90,封装后效率保持25.8%,大面积组件效率偏低,优化丝网印刷工艺,2024-06-30
