日期,城市,最高温_℃,最低温_℃,湿度_%,风速_m/s,天气
2024-01-01,泸州,5.9,-0.1,63,3.6,晴
2024-01-01,北京,3.5,-2.5,53,1.2,晴
2024-01-02,北京,9.3,3.3,69,0.5,阴
2024-01-02,昆明,1.2,-4.8,95,0.0,晴
2024-01-03,北京,-1.9,-7.9,66,2.4,大雨
2024-01-03,北京,6.9,0.9,61,1.3,晴
2024-01-04,哈尔滨,-3.3,-9.3,78,0.9,多云
2024-01-04,哈尔滨,-5.7,-11.7,77,10.6,晴
2024-01-05,泸州,5.7,-0.3,70,1.6,小雨
2024-01-05,北京,3.0,-3.0,61,3.5,晴
2024-01-06,广州,13.6,7.6,78,0.5,大雨
2024-01-06,北京,3.6,-2.4,66,0.0,多云
2024-01-07,北京,-0.2,-6.2,75,1.4,大雨
2024-01-07,泸州,8.3,2.3,55,2.7,晴
2024-01-08,广州,11.6,5.6,57,1.8,多云
2024-01-08,北京,5.3,-0.7,66,5.5,阴
2024-01-09,广州,10.2,4.2,50,1.4,小雨
2024-01-09,哈尔滨,-3.3,-9.3,60,0.9,多云
2024-01-10,哈尔滨,4.5,-1.5,49,6.2,大雨
2024-01-10,广州,10.2,4.2,46,1.3,晴
2024-01-11,北京,1.5,-4.5,94,0.8,阴
2024-01-11,广州,13.5,7.5,57,0.3,晴
2024-01-12,广州,5.0,-1.0,58,3.9,晴
2024-01-12,哈尔滨,-7.4,-13.4,65,4.4,多云
2024-01-13,广州,14.9,8.9,52,0.1,大雨
2024-01-13,昆明,6.6,0.6,58,1.1,雪
2024-01-14,昆明,10.3,4.3,87,3.5,多云
2024-01-14,哈尔滨,-3.4,-9.4,69,7.3,大雨
2024-01-15,北京,3.4,-2.6,76,1.2,多云
2024-01-15,北京,2.4,-3.6,83,5.1,阴
2024-01-16,哈尔滨,-3.5,-9.5,67,1.3,晴
2024-01-16,北京,1.0,-5.0,62,0.5,多云
2024-01-17,泸州,10.3,4.3,47,0.0,晴
2024-01-17,昆明,5.0,-1.0,60,1.0,晴
2024-01-18,泸州,7.4,1.4,63,1.2,多云
2024-01-18,泸州,9.2,3.2,55,7.3,小雨
2024-01-19,泸州,12.6,6.6,83,0.6,多云
2024-01-19,哈尔滨,-1.2,-7.2,78,1.2,大雨
2024-01-20,泸州,13.5,7.5,76,0.1,小雨
2024-01-20,广州,12.8,6.8,63,3.6,晴
2024-01-21,北京,5.7,-0.3,52,6.2,多云
2024-01-21,哈尔滨,4.0,-2.0,80,0.7,阴
2024-01-22,广州,20.2,14.2,69,1.4,大雨
2024-01-22,广州,12.3,6.3,74,0.3,雪
2024-01-23,昆明,6.3,0.3,72,1.5,小雨
2024-01-23,昆明,14.5,8.5,68,0.4,多云
2024-01-24,广州,17.9,11.9,88,1.9,小雨
2024-01-24,昆明,9.1,3.1,57,3.3,晴
2024-01-25,北京,6.0,0.0,61,2.0,晴
2024-01-25,北京,7.7,1.7,84,0.7,阴
2024-01-26,昆明,10.9,4.9,65,1.1,大雨
2024-01-26,泸州,11.7,5.7,63,2.5,雪
2024-01-27,广州,17.0,11.0,61,2.2,晴
2024-01-27,北京,6.0,0.0,73,0.4,小雨
2024-01-28,昆明,11.3,5.3,62,4.7,小雨
2024-01-28,昆明,8.8,2.8,60,1.6,阴
2024-01-29,北京,4.4,-1.6,72,0.4,晴
2024-01-29,北京,12.8,6.8,66,0.3,阴
2024-01-30,泸州,14.3,8.3,52,8.4,多云
2024-01-30,昆明,16.8,10.8,65,0.8,阴
2024-01-31,昆明,6.1,0.1,81,6.0,阴
2024-01-31,哈尔滨,-2.3,-8.3,74,1.3,小雨
2024-02-01,泸州,16.6,10.6,83,1.2,晴
2024-02-01,北京,9.2,3.2,56,3.0,多云
2024-02-02,北京,6.1,0.1,77,0.0,多云
2024-02-02,广州,23.2,17.2,57,1.0,晴
2024-02-03,北京,7.3,1.3,50,0.9,雪
2024-02-03,昆明,16.7,10.7,55,5.1,晴
2024-02-04,北京,10.1,4.1,66,1.9,多云
2024-02-04,昆明,10.3,4.3,77,1.1,大雨
2024-02-05,昆明,11.7,5.7,68,0.8,晴
2024-02-05,泸州,21.0,15.0,63,2.2,小雨
2024-02-06,北京,10.2,4.2,52,0.4,多云
2024-02-06,泸州,20.2,14.2,73,0.7,晴
2024-02-07,昆明,18.7,12.7,76,0.9,大雨
2024-02-07,北京,11.4,5.4,68,2.3,晴
2024-02-08,北京,11.2,5.2,52,1.2,多云
2024-02-08,泸州,16.9,10.9,74,1.8,晴
2024-02-09,泸州,19.3,13.3,79,2.6,晴
2024-02-09,昆明,20.0,14.0,83,7.8,大雨
2024-02-10,昆明,12.0,6.0,59,3.6,小雨
2024-02-10,北京,13.6,7.6,70,1.3,晴
2024-02-11,北京,13.6,7.6,58,3.4,阴
2024-02-11,哈尔滨,0.9,-5.1,53,7.5,小雨
2024-02-12,哈尔滨,3.8,-2.2,83,1.7,大雨
2024-02-12,广州,21.7,15.7,71,1.3,多云
2024-02-13,昆明,19.2,13.2,80,0.2,大雨
2024-02-13,广州,26.9,20.9,50,5.6,多云
2024-02-14,广州,18.7,12.7,68,0.7,阴
2024-02-14,泸州,22.5,16.5,71,0.2,雪
2024-02-15,泸州,22.3,16.3,55,1.9,晴
2024-02-15,哈尔滨,9.7,3.7,82,4.7,晴
2024-02-16,广州,25.6,19.6,62,1.3,晴
2024-02-16,哈尔滨,11.2,5.2,70,3.8,晴
2024-02-17,昆明,22.1,16.1,58,4.5,晴
2024-02-17,北京,10.9,4.9,50,1.5,阴
2024-02-18,泸州,21.8,15.8,75,2.2,多云
2024-02-18,昆明,18.4,12.4,69,1.9,多云
2024-02-19,昆明,17.7,11.7,67,7.0,多云
2024-02-19,泸州,21.2,15.2,61,3.2,晴
2024-02-20,泸州,23.4,17.4,69,6.5,多云
2024-02-20,广州,23.1,17.1,80,0.6,阴
2024-02-21,哈尔滨,12.2,6.2,56,0.9,晴
2024-02-21,昆明,19.3,13.3,71,0.2,雪
2024-02-22,广州,30.2,24.2,67,1.7,多云
2024-02-22,广州,26.0,20.0,62,5.2,大雨
2024-02-23,昆明,19.0,13.0,45,1.0,晴
2024-02-23,昆明,18.4,12.4,64,0.3,小雨
2024-02-24,北京,16.6,10.6,73,0.2,阴
2024-02-24,哈尔滨,9.2,3.2,68,1.5,小雨
2024-02-25,昆明,23.1,17.1,47,0.4,阴
2024-02-25,泸州,28.1,22.1,79,1.1,雪
2024-02-26,北京,20.4,14.4,84,4.3,阴
2024-02-26,哈尔滨,12.2,6.2,63,1.2,小雨
2024-02-27,泸州,27.0,21.0,92,2.4,大雨
2024-02-27,泸州,25.7,19.7,55,1.7,阴
2024-02-28,哈尔滨,13.0,7.0,49,3.2,多云
2024-02-28,北京,19.2,13.2,52,0.4,晴
2024-02-29,泸州,28.8,22.8,67,6.3,小雨
2024-02-29,广州,22.8,16.8,43,2.6,多云
2024-03-01,哈尔滨,7.3,1.3,61,0.8,阴
2024-03-01,哈尔滨,17.0,11.0,100,0.3,晴
2024-03-02,昆明,23.5,17.5,46,0.4,多云
2024-03-02,北京,24.0,18.0,58,3.8,阴
2024-03-03,广州,29.6,23.6,52,2.2,多云
2024-03-03,广州,36.6,30.6,61,1.2,多云
2024-03-04,昆明,24.3,18.3,60,1.0,晴
2024-03-04,泸州,29.3,23.3,56,4.8,晴
2024-03-05,泸州,26.8,20.8,63,5.2,阴
2024-03-05,广州,29.6,23.6,72,2.2,晴
2024-03-06,北京,17.2,11.2,81,1.9,阴
2024-03-06,泸州,30.9,24.9,61,4.2,多云
2024-03-07,哈尔滨,16.9,10.9,65,3.5,雪
2024-03-07,昆明,26.2,20.2,70,1.3,晴
2024-03-08,北京,19.6,13.6,50,0.2,晴
2024-03-08,泸州,33.5,27.5,63,3.7,多云
2024-03-09,广州,33.7,27.7,58,0.5,多云
2024-03-09,昆明,28.6,22.6,76,0.0,晴
2024-03-10,泸州,29.6,23.6,86,4.6,小雨
2024-03-10,广州,30.5,24.5,55,2.2,多云
2024-03-11,泸州,32.9,26.9,80,5.6,晴
2024-03-11,昆明,28.4,22.4,47,1.7,晴
2024-03-12,哈尔滨,16.7,10.7,67,6.5,小雨
2024-03-12,哈尔滨,18.6,12.6,68,1.1,晴
2024-03-13,广州,36.9,30.9,47,3.2,晴
2024-03-13,哈尔滨,19.6,13.6,55,0.9,晴
2024-03-14,昆明,22.6,16.6,53,0.0,阴
2024-03-14,广州,30.4,24.4,49,1.2,小雨
2024-03-15,泸州,33.1,27.1,33,3.3,晴
2024-03-15,北京,23.0,17.0,62,0.4,晴
2024-03-16,泸州,28.0,22.0,63,1.8,晴
2024-03-16,昆明,29.4,23.4,63,0.6,阴
2024-03-17,广州,32.1,26.1,74,0.2,晴
2024-03-17,泸州,30.0,24.0,41,2.4,大雨
2024-03-18,广州,38.1,32.1,60,7.6,晴
2024-03-18,哈尔滨,14.1,8.1,95,0.9,晴
2024-03-19,北京,21.7,15.7,75,2.2,晴
2024-03-19,昆明,24.0,18.0,75,7.7,小雨
2024-03-20,泸州,29.4,23.4,52,2.6,阴
2024-03-20,北京,26.3,20.3,62,2.8,雪
2024-03-21,昆明,27.3,21.3,37,0.5,晴
2024-03-21,昆明,33.7,27.7,72,1.7,晴
2024-03-22,哈尔滨,20.6,14.6,81,1.1,多云
2024-03-22,广州,36.3,30.3,47,1.6,多云
2024-03-23,广州,40.2,34.2,51,4.0,多云
2024-03-23,北京,22.5,16.5,64,1.5,晴
2024-03-24,哈尔滨,22.1,16.1,66,0.2,晴
2024-03-24,昆明,28.9,22.9,58,5.9,晴
2024-03-25,哈尔滨,18.3,12.3,55,2.0,阴
2024-03-25,哈尔滨,21.5,15.5,55,6.5,多云
2024-03-26,北京,25.5,19.5,64,2.1,小雨
2024-03-26,广州,37.3,31.3,72,0.2,晴
2024-03-27,哈尔滨,19.5,13.5,64,2.0,小雨
2024-03-27,哈尔滨,20.8,14.8,63,2.1,多云
2024-03-28,哈尔滨,18.4,12.4,43,0.6,晴
2024-03-28,泸州,35.7,29.7,75,1.6,雪
2024-03-29,哈尔滨,13.8,7.8,64,1.5,多云
2024-03-29,哈尔滨,21.9,15.9,59,2.4,阴
2024-03-30,昆明,24.3,18.3,68,0.8,阴
2024-03-30,泸州,30.7,24.7,54,2.2,多云
2024-03-31,哈尔滨,21.6,15.6,60,0.7,阴
2024-03-31,哈尔滨,14.0,8.0,66,1.5,大雨
2024-04-01,北京,27.5,21.5,56,0.3,多云
2024-04-01,北京,22.9,16.9,45,0.1,阴
2024-04-02,泸州,30.1,24.1,43,1.0,小雨
2024-04-02,昆明,26.9,20.9,70,0.8,晴
2024-04-03,泸州,28.9,22.9,64,1.3,晴
2024-04-03,泸州,27.8,21.8,64,8.2,晴
