客户ID,在网月数,月消费_元,累计消费_元,订购服务数,客服呼叫次数,合约类型,套餐名称,是否流失
C000001,28,348.91,9820.84,5,3,月付,基础套餐,0
C000002,19,34.73,749.12,1,5,两年付,商务套餐,0
C000003,27,256.08,7053.12,6,2,年付,尊享套餐,0
C000004,48,224.79,10805.84,4,1,月付,畅享套餐,0
C000005,19,80.16,1641.95,6,0,两年付,旗舰套餐,0
C000006,51,463.91,23777.29,6,1,月付,畅享套餐,1
C000007,7,408.36,2995.37,5,2,月付,基础套餐,1
C000008,29,138.14,4080.05,2,0,两年付,商务套餐,0
C000009,43,150.31,6553.13,7,2,年付,尊享套餐,0
C000010,69,45.05,3174.44,1,1,年付,标准套餐,0
C000011,58,169.46,9990.31,6,1,年付,尊享套餐,0
C000012,8,304.77,2464.28,7,5,年付,标准套餐,1
C000013,42,227.8,9760.19,7,0,月付,基础套餐,0
C000014,42,485.55,20520.07,2,2,年付,标准套餐,1
C000015,13,56.36,910.06,3,0,两年付,旗舰套餐,0
C000016,26,307.97,8092.47,1,0,月付,畅享套餐,1
C000017,18,433.41,7867.84,1,0,年付,尊享套餐,1
C000018,42,255.95,10930.05,7,3,月付,畅享套餐,0
C000019,51,31.39,1620.66,5,4,月付,基础套餐,0
C000020,16,144.12,2329.34,6,4,年付,标准套餐,0
C000021,3,182.17,606.38,3,1,月付,基础套餐,0
C000022,45,484.02,21972.85,5,2,年付,标准套餐,1
C000023,22,458.53,10214.27,4,2,月付,基础套餐,1
C000024,23,476.11,11061.37,2,1,两年付,商务套餐,1
C000025,59,418.11,24809.56,2,3,月付,基础套餐,0
C000026,62,195.27,12190.23,5,3,月付,畅享套餐,0
C000027,68,455.76,31143.29,7,2,月付,基础套餐,0
C000028,54,491.39,26613.71,2,1,两年付,商务套餐,0
C000029,57,194.53,11253.48,6,3,年付,尊享套餐,0
C000030,23,152.46,3560.04,2,0,年付,标准套餐,0
C000031,60,287.05,17278.51,6,3,月付,基础套餐,0
C000032,55,117.96,6592.28,4,2,月付,畅享套餐,0
C000033,63,45.33,2941.94,3,1,月付,基础套餐,0
C000034,56,474.54,26703.86,1,3,年付,标准套餐,0
C000035,55,465.1,25653.36,5,3,月付,基础套餐,0
C000036,25,106.45,2707.36,5,2,两年付,商务套餐,0
C000037,26,221.64,5856.6,6,3,年付,尊享套餐,1
C000038,49,420.59,20721.1,4,2,月付,畅享套餐,1
C000039,63,340.67,21490.73,4,1,月付,基础套餐,0
C000040,45,215.55,9811.09,7,3,年付,标准套餐,0
C000041,39,379.76,14874.49,1,1,月付,基础套餐,0
C000042,65,451.61,29433.14,3,2,月付,畅享套餐,0
C000043,69,465.29,32160.87,5,2,月付,基础套餐,1
C000044,56,208.06,11837.64,6,4,年付,标准套餐,0
C000045,9,111.57,1140.8,4,1,年付,尊享套餐,0
C000046,70,459.03,32184.59,5,1,月付,畅享套餐,0
