任务ID,父任务ID,任务名称,负责人,任务状态,进度百分比,开始日期,结束日期,优先级,工期_天
T001,ROOT,产品线A-智能平台,刘洋,进行中,,2026-03-01,2026-12-31,高,305
T001-1,T001,需求调研,陈静,已完成,100,2026-03-01,2026-04-15,高,46
T001-2,T001,方案设计,李明,进行中,,2026-04-16,2026-06-30,高,76
T001-2-1,T001-2,架构设计,李明,已完成,100,2026-04-16,2026-05-31,高,46
T001-2-2,T001-2,接口设计,王芳,进行中,60,2026-05-15,2026-06-30,中,47
T001-3,T001,核心开发,张伟,进行中,,2026-07-01,2026-11-30,高,153
T001-3-1,T001-3,前端开发,赵丽,进行中,40,2026-07-01,2026-10-31,高,123
T001-3-2,T001-3,后端开发,张伟,进行中,25,2026-07-01,2026-11-30,高,153
T001-3-3,T001-3,数据库设计,孙磊,已完成,100,2026-07-01,2026-07-15,中,15
T002,ROOT,产品线B-移动应用,梁婷,进行中,,2026-05-01,2027-03-31,中,335
T002-1,T002,需求调研,周红,已完成,100,2026-05-01,2026-06-15,中,46
T002-2,T002,方案设计,吴强,进行中,50,2026-06-16,2026-08-31,中,77
T002-3,T002,核心开发,郑华,进行中,,2026-09-01,2027-01-31,高,153
T002-3-1,T002-3,Android开发,郑华,进行中,20,2026-09-01,2026-12-31,高,122
T002-3-2,T002-3,iOS开发,黄丽,进行中,30,2026-09-01,2027-01-31,高,153
T003,ROOT,产品线C-数据分析,黄丽,未开始,,2026-10-01,2027-06-30,低,273
T003-1,T003,需求调研,冯远,未开始,0,2026-10-01,2026-11-15,低,46
T004,ROOT,运维与支持,朱军,进行中,,2026-01-01,2026-12-31,中,365
T004-1,T004,部署上线,朱军,已完成,100,2026-01-01,2026-01-15,高,15
T004-2,T004,培训交付,徐丽,进行中,,2026-02-01,2026-06-30,中,150
T004-2-1,T004-2,用户手册编写,徐丽,已完成,100,2026-02-01,2026-04-30,中,89
T004-2-2,T004-2,管理员培训,钱进,进行中,50,2026-05-01,2026-06-30,中,61
T004-3,T004,运维监控,孙磊,进行中,90,2026-03-01,2026-12-31,中,305
