订单号,用户ID,商品类别,单价,数量,支付方式,评分,销售额,日期
ORD0000001,2600,数码,203.57,2,支付宝,5,407.14,2025-01-01
ORD0000002,4938,美妆,1414.94,5,微信,4,7074.7,2025-01-01
ORD0000003,2255,数码,697.29,5,支付宝,4,3486.45,2025-01-01
ORD0000004,1327,运动,23.79,3,支付宝,4,71.37,2025-01-01
ORD0000005,2466,运动,812.46,5,微信,2,4062.3,2025-01-02
ORD0000006,3099,食品,476.85,2,支付宝,5,953.7,2025-01-02
ORD0000007,4957,美妆,1638.71,4,微信,5,6554.84,2025-01-02
ORD0000008,2966,家居,680.88,4,支付宝,4,2723.52,2025-01-02
ORD0000009,1375,服装,1655.93,4,微信,4,6623.72,2025-01-03
ORD0000010,1262,食品,11.09,4,银行卡,1,44.36,2025-01-03
ORD0000011,1266,运动,622.18,3,微信,1,1866.54,2025-01-03
ORD0000012,3406,食品,489.6,5,微信,3,2448.0,2025-01-03
ORD0000013,4388,服装,474.49,4,货到付款,3,1897.96,2025-01-04
ORD0000014,4395,运动,145.53,1,支付宝,5,145.53,2025-01-04
ORD0000015,2944,服装,382.11,4,支付宝,5,1528.44,2025-01-04
ORD0000016,4979,家居,1114.94,5,支付宝,2,5574.7,2025-01-04
ORD0000017,4737,食品,589.45,4,支付宝,2,2357.8,2025-01-05
ORD0000018,2893,图书,840.14,3,货到付款,1,2520.42,2025-01-05
ORD0000019,2901,食品,759.53,2,支付宝,3,1519.06,2025-01-05
ORD0000020,3699,数码,1752.16,2,微信,1,3504.32,2025-01-05
ORD0000021,4634,美妆,1810.63,5,微信,1,9053.15,2025-01-06
ORD0000022,2652,美妆,990.44,2,支付宝,3,1980.88,2025-01-06
ORD0000023,2444,数码,666.61,2,微信,2,1333.22,2025-01-06
ORD0000024,1045,运动,222.34,1,支付宝,3,222.34,2025-01-06
ORD0000025,4892,美妆,1906.31,5,微信,4,9531.55,2025-01-07
ORD0000026,1599,服装,129.7,5,支付宝,4,648.5,2025-01-07
ORD0000027,1719,美妆,601.96,2,银行卡,4,1203.92,2025-01-07
ORD0000028,2912,美妆,602.78,2,货到付款,5,1205.56,2025-01-07
ORD0000029,2292,数码,647.21,2,支付宝,2,1294.42,2025-01-08
ORD0000030,1600,运动,336.68,3,支付宝,2,1010.04,2025-01-08
ORD0000031,1380,家居,1567.69,4,微信,5,6270.76,2025-01-08
ORD0000032,1117,美妆,253.56,3,支付宝,1,760.68,2025-01-08
ORD0000033,4637,图书,1272.79,5,银行卡,4,6363.95,2025-01-09
ORD0000034,3163,美妆,256.24,1,微信,4,256.24,2025-01-09
ORD0000035,4701,家居,150.2,4,支付宝,1,600.8,2025-01-09
ORD0000036,1259,数码,1818.85,1,银行卡,3,1818.85,2025-01-09
ORD0000037,2098,家居,388.09,5,微信,3,1940.45,2025-01-10
ORD0000038,2503,数码,1643.45,5,银行卡,2,8217.25,2025-01-10
ORD0000039,3352,服装,1093.23,1,银行卡,5,1093.23,2025-01-10
ORD0000040,3054,数码,164.76,1,支付宝,2,164.76,2025-01-10
ORD0000041,1365,服装,1910.38,1,支付宝,3,1910.38,2025-01-11
ORD0000042,2657,服装,501.13,5,货到付款,1,2505.65,2025-01-11
ORD0000043,3570,数码,1719.82,2,银行卡,2,3439.64,2025-01-11
ORD0000044,4419,图书,345.68,1,支付宝,4,345.68,2025-01-11
ORD0000045,2461,食品,1708.48,4,银行卡,4,6833.92,2025-01-12
ORD0000046,3024,数码,36.21,5,微信,1,181.05,2025-01-12
ORD0000047,4286,美妆,1027.88,3,支付宝,3,3083.64,2025-01-12
ORD0000048,3476,图书,1540.4,3,银行卡,4,4621.2,2025-01-12
