经费编号,课题编号,预算科目,预算金额_万元,已拨金额_万元,已支金额_万元,拨付日期,经费状态
JF0001,KT2023001,人员费,80.0,80.0,62.5,2023-03-15,正常
JF0002,KT2023001,设备费,100.0,100.0,95.0,2023-03-15,正常
JF0003,KT2023001,材料费,40.0,30.0,28.3,2024-01-10,正常
JF0004,KT2023001,差旅费,20.0,15.0,12.8,2024-06-20,正常
JF0005,KT2023002,人员费,60.0,60.0,55.2,2023-04-01,正常
JF0006,KT2023002,设备费,80.0,80.0,78.0,2023-04-01,正常
JF0007,KT2023002,材料费,40.0,40.0,36.5,2024-02-28,正常
JF0008,KT2023003,人员费,70.0,70.0,70.0,2023-02-10,已结清
JF0009,KT2023003,设备费,60.0,60.0,58.5,2023-02-10,已结清
JF0010,KT2023003,材料费,40.0,40.0,38.2,2024-05-15,已结清
JF0011,KT2023003,测试化验加工费,30.0,30.0,28.0,2024-08-20,已结清
JF0012,KT2023004,人员费,100.0,100.0,78.5,2023-05-20,正常
JF0013,KT2023004,设备费,140.0,140.0,132.0,2023-05-20,正常
JF0014,KT2023004,材料费,50.0,40.0,35.8,2024-03-10,正常
JF0015,KT2023004,差旅费,30.0,20.0,15.2,2024-07-05,正常
JF0016,KT2023005,人员费,90.0,90.0,72.0,2023-06-01,正常
JF0017,KT2023005,设备费,120.0,120.0,110.5,2023-06-01,正常
JF0018,KT2023005,材料费,50.0,40.0,33.6,2024-04-15,正常
JF0019,KT2023006,人员费,50.0,50.0,42.0,2023-04-10,正常
JF0020,KT2023006,设备费,60.0,60.0,55.8,2023-04-10,正常
JF0021,KT2023006,协作费,40.0,30.0,25.0,2024-01-25,正常
JF0022,KT2024001,人员费,120.0,120.0,45.0,2024-02-20,正常
JF0023,KT2024001,设备费,150.0,150.0,88.0,2024-02-20,正常
JF0024,KT2024001,材料费,50.0,30.0,12.5,2024-06-15,正常
JF0025,KT2024001,差旅费,30.0,20.0,8.2,2024-08-01,正常
JF0026,KT2024002,人员费,150.0,150.0,68.0,2024-03-10,正常
JF0027,KT2024002,设备费,200.0,200.0,145.0,2024-03-10,正常
JF0028,KT2024002,材料费,50.0,30.0,18.5,2024-07-20,正常
JF0029,KT2024002,测试化验加工费,20.0,20.0,12.0,2024-09-01,正常
JF0030,KT2022015,人员费,120.0,120.0,120.0,2022-06-01,已结清
JF0031,KT2022015,设备费,100.0,100.0,100.0,2022-06-01,已结清
JF0032,KT2022015,材料费,80.0,80.0,78.5,2024-01-15,已结清
