待办编号,待办标题,待办类型,优先级,截止日期,完成日期,状态,备注
TODO00001,拜访华中交通 CIO，确认需求调整,跟进拜访,中,2026-10-26,,待办,客户方组织架构调整，对接人已更换
TODO00002,提交智能仓储二期方案,方案设计,低,2026-09-17,,已取消,方案需补充 GPU 集群扩容章节
TODO00003,与华北钢铁确认技术指标,需求确认,高,2026-10-01,,进行中,对方下周有周会，本周五前发确认版
TODO00004,起草大数据平台合同条款,合同签订,中,2026-09-24,,已取消,法务已出初稿，周一 review
TODO00005,检查 DevOps 平台部署环境,实施交付,低,2026-09-22,,已取消,环境已就绪，待安全扫描
TODO00006,处理长江证券告警工单,运维支持,高,2026-10-20,,待办,告警单 #ALM-20260925-003
TODO00007,协调技术部与市场部资源,内部协调,中,2026-10-23,,进行中,涉及 10 人资源冲突，PMO 协调中
TODO00008,给南方电网做用户培训,客户培训,低,2026-09-18,2026-09-16,已完成,培训手册已发客户，现场 2 天
TODO00009,跟进华中交通二期回款,回款催收,高,2026-09-29,,进行中,合同条款约定交付后 30 天回款
TODO00010,拜访中储粮信息中心,跟进拜访,中,2026-10-18,,待办,
TODO00011,编制数字孪生二期预算,方案设计,低,2026-10-21,,待办,
TODO00012,确认智能仓储接口清单,需求确认,高,2026-10-20,,进行中,
TODO00013,推进大数据合同评审,合同签订,中,2026-09-30,,待办,
TODO00014,协调云平台上线窗口期,实施交付,低,2026-10-23,,进行中,
TODO00015,处理徐工集团 bug 单,运维支持,高,2026-09-16,2026-09-03,已完成,
TODO00016,准备季度汇报材料,内部协调,中,2026-10-07,,进行中,
TODO00017,给华中交通做运维培训,客户培训,低,2026-09-25,,进行中,
TODO00018,催收南方电网尾款,回款催收,高,2026-10-07,,待办,
TODO00019,跟进华为云竞品信息,内部协调,中,2026-09-21,2026-09-18,已完成,
TODO00020,拜访东软集团采购总监,跟进拜访,低,2026-10-08,,进行中,
TODO00021,准备 2027 Q1 方案模板,方案设计,高,2026-10-24,,进行中,
TODO00022,确认云平台验收标准,需求确认,中,2026-09-18,,已取消,
TODO00023,推进华中交通合同续签,合同签订,低,2026-10-20,,待办,
TODO00024,协调智能仓储资源扩容,实施交付,高,2026-10-10,,待办,
TODO00025,处理客户流失预警工单,运维支持,中,2026-10-21,,进行中,
TODO00026,市场部内部产品培训,内部协调,低,2026-10-26,,进行中,
TODO00027,给华北钢铁做系统培训,客户培训,高,2026-10-22,,待办,
TODO00028,催收中储粮合同首期款,回款催收,中,2026-09-20,2026-09-13,已完成,
TODO00029,整理销售周报数据,内部协调,低,2026-10-04,,待办,
TODO00030,拜访新客户 ABC 科技,跟进拜访,高,2026-09-30,,进行中,
