课题编号,项目名称,项目类别,承担单位,立项年份,计划周期_月,项目状态,经费总额_万元,成果形式,结题日期
KT2023001,基于深度学习的医学影像分割算法研究,应用研究,北京协和医院,2023,36,在研,240.0,论文+软件著作权,
KT2023002,新型锂电池正极材料的制备与性能研究,基础研究,清华大学,2023,24,在研,180.0,论文+专利,
KT2023003,面向智慧城市的物联网安全框架研究,应用研究,浙江大学,2023,30,已结题,200.0,论文+标准,2025-06-30
KT2023004,癌症早筛标志物的发现与验证,基础研究,上海交通大学,2023,36,在研,320.0,论文+专利,
KT2023005,高效钙钛矿太阳能电池关键技术,应用研究,中国科学院,2023,24,在研,280.0,论文+专利+样品,
KT2023006,量子通信网络协议优化研究,基础研究,中国科学技术大学,2023,36,在研,150.0,论文+标准,
KT2024001,大模型在药物研发中的应用研究,应用研究,北京大学,2024,24,在研,350.0,论文+软件著作权,
KT2024002,深海资源勘探关键技术装备,工程技术,中国海洋大学,2024,36,在研,420.0,专利+样机,
KT2024003,碳中和背景下的城市能源结构优化,应用研究,同济大学,2024,24,在研,160.0,论文+政策建议,
KT2024004,基因编辑在遗传病治疗中的安全性研究,基础研究,复旦大学,2024,30,在研,260.0,论文+专利,
KT2022015,高性能碳纤维制备工艺研究,工程技术,哈尔滨工业大学,2022,36,已结题,300.0,专利+工艺包,2025-03-31
KT2022018,智能交通系统协同控制算法,应用研究,东南大学,2022,30,已结题,190.0,论文+软件著作权,2025-05-15
KT2024005,脑机接口信号处理新方法,基础研究,西安交通大学,2024,24,在研,210.0,论文+专利,
KT2024006,新能源汽车动力电池回收利用,工程技术,华南理工大学,2024,36,在研,380.0,专利+工艺包,
KT2023007,多模态大模型的可解释性研究,基础研究,南京大学,2023,24,已结题,120.0,论文,2025-08-31
