学号,姓名,性别,年级,班级,语文,数学,英语,综合理科,体育,总分,平均分
S00001,学生_0001,男,高一,C班,75,62,84,48,97,366,73.2
S00002,学生_0002,女,高二,B班,92,65,75,65,82,379,75.8
S00003,学生_0003,男,高三,B班,79,74,64,82,83,382,76.4
S00004,学生_0004,男,高一,C班,74,77,76,78,82,387,77.4
S00005,学生_0005,男,高一,C班,71,93,57,77,100,398,79.6
S00006,学生_0006,女,高二,C班,74,63,73,70,98,378,75.6
S00007,学生_0007,男,高三,B班,74,86,71,70,100,401,80.2
S00008,学生_0008,男,高二,C班,79,72,69,60,83,363,72.6
S00009,学生_0009,男,高二,C班,79,74,70,79,87,389,77.8
S00010,学生_0010,女,高一,A班,78,83,47,75,72,355,71.0
S00011,学生_0011,男,高二,A班,82,61,64,76,96,379,75.8
S00012,学生_0012,男,高三,B班,89,79,73,62,75,378,75.6
S00013,学生_0013,男,高一,C班,87,76,74,39,86,362,72.4
S00014,学生_0014,男,高二,C班,63,80,58,85,76,362,72.4
S00015,学生_0015,女,高三,A班,52,78,88,63,80,361,72.2
S00016,学生_0016,男,高三,B班,87,100,60,57,78,382,76.4
S00017,学生_0017,女,高二,A班,64,67,84,79,80,374,74.8
S00018,学生_0018,女,高三,A班,75,68,77,64,80,364,72.8
S00019,学生_0019,女,高二,A班,66,67,63,84,80,360,72.0
S00020,学生_0020,男,高一,A班,59,68,95,78,91,391,78.2
S00021,学生_0021,女,高三,C班,83,67,56,79,76,361,72.2
S00022,学生_0022,男,高三,C班,85,89,83,50,86,393,78.6
S00023,学生_0023,女,高三,A班,72,92,85,86,94,429,85.8
S00024,学生_0024,女,高三,B班,52,68,63,73,80,336,67.2
S00025,学生_0025,女,高二,B班,72,65,90,64,79,370,74.0
S00026,学生_0026,女,高二,B班,81,80,68,72,83,384,76.8
S00027,学生_0027,女,高三,B班,63,68,75,45,94,345,69.0
S00028,学生_0028,女,高二,A班,79,82,75,75,86,397,79.4
S00029,学生_0029,女,高三,C班,77,77,70,55,80,359,71.8
S00030,学生_0030,女,高三,B班,83,56,82,51,88,360,72.0
S00031,学生_0031,男,高三,A班,79,93,82,48,76,378,75.6
S00032,学生_0032,男,高一,B班,68,96,49,85,90,388,77.6
S00033,学生_0033,女,高二,B班,89,67,88,61,88,393,78.6
S00034,学生_0034,女,高一,A班,76,70,50,91,82,369,73.8
S00035,学生_0035,女,高二,C班,77,78,85,62,78,380,76.0
S00036,学生_0036,男,高一,C班,68,79,86,46,77,356,71.2
S00037,学生_0037,女,高二,A班,73,82,57,54,89,355,71.0
S00038,学生_0038,男,高二,C班,69,99,66,87,94,415,83.0
S00039,学生_0039,男,高一,A班,76,72,57,67,79,351,70.2
S00040,学生_0040,男,高二,A班,95,65,69,62,88,379,75.8
S00041,学生_0041,男,高一,A班,64,58,67,72,68,329,65.8
S00042,学生_0042,男,高一,C班,61,66,82,77,80,366,73.2
S00043,学生_0043,女,高三,A班,92,74,89,85,84,424,84.8
S00044,学生_0044,女,高二,B班,75,96,90,90,77,428,85.6
S00045,学生_0045,女,高一,C班,71,68,64,64,77,344,68.8
S00046,学生_0046,女,高二,C班,88,77,69,51,79,364,72.8
S00047,学生_0047,女,高三,C班,71,74,50,64,87,346,69.2
S00048,学生_0048,男,高一,C班,96,89,61,73,83,402,80.4
S00049,学生_0049,女,高二,B班,84,100,84,56,67,391,78.2
S00050,学生_0050,女,高一,C班,73,68,93,56,68,358,71.6
S00051,学生_0051,男,高一,C班,99,69,55,74,80,377,75.4
S00052,学生_0052,女,高二,A班,71,87,64,69,88,379,75.8
S00053,学生_0053,男,高二,C班,85,83,71,70,63,372,74.4
S00054,学生_0054,女,高二,B班,80,97,75,59,81,392,78.4
S00055,学生_0055,男,高三,B班,91,82,61,66,80,380,76.0
S00056,学生_0056,女,高三,B班,93,70,77,57,96,393,78.6
S00057,学生_0057,女,高二,B班,78,82,65,82,81,388,77.6
S00058,学生_0058,男,高一,C班,70,88,71,84,88,401,80.2
S00059,学生_0059,男,高三,C班,82,84,79,44,86,375,75.0
S00060,学生_0060,男,高一,B班,71,81,72,56,67,347,69.4
S00061,学生_0061,男,高二,B班,98,87,66,49,91,391,78.2
S00062,学生_0062,男,高一,C班,79,89,70,60,86,384,76.8
S00063,学生_0063,男,高一,B班,74,91,70,68,89,392,78.4
S00064,学生_0064,男,高三,A班,79,82,67,49,100,377,75.4
S00065,学生_0065,男,高三,B班,64,72,68,57,68,329,65.8
S00066,学生_0066,女,高二,B班,68,76,92,55,98,389,77.8
S00067,学生_0067,女,高二,A班,90,89,79,72,82,412,82.4
S00068,学生_0068,男,高一,A班,71,65,68,70,87,361,72.2
S00069,学生_0069,女,高一,C班,67,79,81,59,84,370,74.0
S00070,学生_0070,女,高一,C班,83,70,67,72,81,373,74.6
S00071,学生_0071,女,高二,A班,89,75,87,62,80,393,78.6
S00072,学生_0072,女,高三,A班,85,90,76,66,87,404,80.8
S00073,学生_0073,男,高二,C班,87,77,70,93,72,399,79.8
S00074,学生_0074,女,高一,B班,70,75,77,88,91,401,80.2
S00075,学生_0075,男,高三,A班,63,58,51,51,81,304,60.8
S00076,学生_0076,女,高三,C班,93,83,57,81,75,389,77.8
S00077,学生_0077,女,高二,B班,74,82,56,81,81,374,74.8
S00078,学生_0078,女,高二,A班,75,100,73,53,95,396,79.2
S00079,学生_0079,男,高二,B班,91,71,94,81,80,417,83.4
S00080,学生_0080,女,高一,C班,83,77,100,91,87,438,87.6
S00081,学生_0081,男,高二,A班,82,77,80,54,79,372,74.4
S00082,学生_0082,女,高三,B班,99,93,78,57,91,418,83.6
S00083,学生_0083,男,高一,A班,71,73,48,84,90,366,73.2
S00084,学生_0084,女,高一,B班,87,78,64,73,99,401,80.2
S00085,学生_0085,男,高一,C班,78,82,61,77,83,381,76.2
S00086,学生_0086,男,高一,C班,80,77,63,74,90,384,76.8
S00087,学生_0087,女,高三,A班,93,69,69,75,85,391,78.2
S00088,学生_0088,男,高三,B班,83,77,65,51,95,371,74.2
S00089,学生_0089,女,高二,A班,83,87,46,84,79,379,75.8
S00090,学生_0090,女,高一,A班,88,62,81,86,90,407,81.4
S00091,学生_0091,女,高二,B班,74,76,58,66,83,357,71.4
S00092,学生_0092,女,高二,B班,69,66,75,69,84,363,72.6
S00093,学生_0093,女,高一,B班,67,89,98,48,85,387,77.4
S00094,学生_0094,女,高二,C班,58,56,60,77,87,338,67.6
S00095,学生_0095,女,高二,A班,98,68,39,78,84,367,73.4
S00096,学生_0096,女,高二,A班,66,79,68,69,86,368,73.6
S00097,学生_0097,女,高二,C班,75,93,86,85,97,436,87.2
S00098,学生_0098,女,高一,B班,75,74,97,65,92,403,80.6
S00099,学生_0099,女,高二,C班,81,68,56,77,91,373,74.6
S00100,学生_0100,男,高二,C班,86,97,78,55,81,397,79.4
S00101,学生_0101,男,高二,C班,86,57,65,69,77,354,70.8
S00102,学生_0102,女,高三,A班,72,48,70,67,92,349,69.8
S00103,学生_0103,女,高二,C班,76,80,100,73,92,421,84.2
S00104,学生_0104,女,高一,A班,80,68,52,64,96,360,72.0
S00105,学生_0105,女,高一,A班,75,62,75,68,80,360,72.0
S00106,学生_0106,女,高二,A班,94,83,78,81,83,419,83.8
S00107,学生_0107,女,高一,B班,82,77,86,63,71,379,75.8
S00108,学生_0108,女,高二,A班,85,68,73,47,81,354,70.8
